"Junior" "Senior" "Rule"
"Aegicetus_gehennae" "Crenatocetus_rayi" "Rule 1B"
"Aegicetus_gehennae" "Dhedacetus_hyaeni" "Rule 1B"
"Aegicetus_gehennae" "Indocetus_ramani" "Rule 1B"
"Aegicetus_gehennae" "Kharodacetus_sahnii" "Rule 1B"
"Aegicetus_gehennae" "Makaracetus_bidens" "Rule 1B"
"Aegicetus_gehennae" "Pappocetus_lugardi" "Rule 1B"
"Aegicetus_gehennae" "Takracetus_simus" "Rule 1B"
"Aegicetus_gehennae" "Togocetus_traversei" "Rule 1B"
"Aegicetus_gehennae" "Natchitochia_jonesi" "Rule 2B"
"Aegicetus_gehennae" "Peregocetus_pacificus" "Rule 2B"
"Aegicetus_gehennae" "Tupelocetus_palmeri" "Rule 2B"
"Aegicetus_gehennae" "Maiacetus_inuus" "Rule 2B"
"Aegicetus_gehennae" "Aegyptocetus_tarfa" "Rule 2B"
"Aegicetus_gehennae" "Eocetus_schweinfurthi" "Rule 2B"
"Aegicetus_gehennae" "Gaviacetus_razai" "Rule 2B"
"Aegicetus_gehennae" "Qaisracetus_arifi" "Rule 2B"
"Aegicetus_gehennae" "Carolinacetus_gingerichi" "Rule 2B"
"Aegicetus_gehennae" "Artiocetus_clavis" "Rule 2B"
"Aegicetus_gehennae" "Protocetus_atavus" "Rule 2B"
"Aegicetus_gehennae" "Georgiacetus_vogtlensis" "Rule 2B"
"Africanacetus_gracilis" "Africanacetus_ceratopsis" "Rule 2B"
"Aglaocetus_burtinii" "Aglaocetus_latifrons" "Rule 1B"
"Aglaocetus_burtinii" "Aglaocetus_rotundus" "Rule 1B"
"Aglaocetus_burtinii" "Aglaocetus_longifrons" "Rule 2B"
"Aglaocetus_burtinii" "Aglaocetus_moreni" "Rule 2B"
"Aglaocetus_burtinii" "Aglaocetus_patulus" "Rule 2B"
"Aglaocetus_latifrons" "Aglaocetus_rotundus" "Rule 1B"
"Aglaocetus_latifrons" "Aglaocetus_longifrons" "Rule 2B"
"Aglaocetus_latifrons" "Aglaocetus_moreni" "Rule 2B"
"Aglaocetus_latifrons" "Aglaocetus_patulus" "Rule 2B"
"Aglaocetus_rotundus" "Aglaocetus_longifrons" "Rule 2B"
"Aglaocetus_rotundus" "Aglaocetus_moreni" "Rule 2B"
"Aglaocetus_rotundus" "Aglaocetus_patulus" "Rule 2B"
"Albireo_savagei" "Albireo_whistleri" "Rule 2B"
"Amphicetus_later" "Tiphyocetus_temblorensis" "Rule 2B"
"Amphicetus_later" "Mauicetus_parki" "Rule 2B"
"Amphicetus_later" "Thinocetus_arthritus" "Rule 2B"
"Amphicetus_later" "Uranocetus_gramensis" "Rule 2B"
"Amphicetus_later" "Isanacetus_laticephalus" "Rule 2B"
"Anacharsis_orbus" "Delphinavus_newhalli" "Rule 1B"
"Anacharsis_orbus" "Miodelphis_californicus" "Rule 1B"
"Anacharsis_orbus" "Platylithax_robusta" "Rule 1B"
"Anacharsis_orbus" "Macrokentriodon_morani" "Rule 2B"
"Anacharsis_orbus" "Pithanodelphis_cornutus" "Rule 2B"
"Anacharsis_orbus" "Tagicetus_joneti" "Rule 2B"
"Anoplonassa_forcipata" "Rhinostodes_lovisatoi" "Rule 1B"
"Anoplonassa_forcipata" "Dagonodum_mojnum" "Rule 2B"
"Anoplonassa_forcipata" "Chavinziphius_maxillocristatus" "Rule 2B"
"Anoplonassa_forcipata" "Chimuziphius_coloradensis" "Rule 2B"
"Anoplonassa_forcipata" "Caviziphius_altirostris" "Rule 2B"
"Anoplonassa_forcipata" "Notoziphius_bruneti" "Rule 2B"
"Anoplonassa_forcipata" "Nenga_meganasalis" "Rule 2B"
"Anoplonassa_forcipata" "Pterocetus_benguelae" "Rule 2B"
"Anoplonassa_forcipata" "Xhosacetus_hendeysi" "Rule 2B"
"Anoplonassa_forcipata" "Ninoziphius_platyrostris" "Rule 2B"
"Anoplonassa_forcipata" "Tasmacetus_shepherdi" "Rule 2B"
"Arimidelphis_sorbinii" "Australodelphis_mirus" "Rule 1B"
"Arimidelphis_sorbinii" "Eodelphinus_kabatensis" "Rule 2B"
"Arimidelphis_sorbinii" "Steno_bredanensis" "Rule 2B"
"Arimidelphis_sorbinii" "Leucopleurus_acutus" "Rule 2B"
"Atropatenocetus_posteocenicus" "Imerodelphis_thabagarii" "Rule 1B"
"Atropatenocetus_posteocenicus" "Lonchodelphis_occiduus" "Rule 1B"
"Atropatenocetus_posteocenicus" "Microzeuglodon_caucasicum" "Rule 1B"
"Atropatenocetus_posteocenicus" "Miokogia_elongatus" "Rule 1B"
"Atropatenocetus_posteocenicus" "Nannolithax_gracilis" "Rule 1B"
"Atropatenocetus_posteocenicus" "Oligodelphis_azerbajdzanicus" "Rule 1B"
"Atropatenocetus_posteocenicus" "Phococetus_vasconum" "Rule 1B"
"Atropatenocetus_posteocenicus" "Priscophyseter_typus" "Rule 1B"
"Atropatenocetus_posteocenicus" "Sachalinocetus_cholmicus" "Rule 1B"
"Atropatenocetus_posteocenicus" "Saurocetus_gibbesii" "Rule 1B"
"Atropatenocetus_posteocenicus" "Sulakocetus_dagestanicus" "Rule 1B"
"Atropatenocetus_posteocenicus" "Ediscetus_osbornei" "Rule 2B"
"Atropatenocetus_posteocenicus" "Chilcacetus_cavirhinus" "Rule 2B"
"Atropatenocetus_posteocenicus" "Ashleycetus_planicapitis" "Rule 2B"
"Atropatenocetus_posteocenicus" "Mirocetus_riabinini" "Rule 2B"
"Atropatenocetus_posteocenicus" "Inticetus_vertizi" "Rule 2B"
"Atropatenocetus_posteocenicus" "Olympicetus_avitus" "Rule 2B"
"Atropatenocetus_posteocenicus" "Simocetus_rayi" "Rule 2B"
"Attockicetus_praecursor" "Dalanistes_ahmedi" "Rule 2B"
"Aulophyseter_mediatlanticus" "Aulophyseter_morricei" "Rule 2B"
"Australodelphis_mirus" "Eodelphinus_kabatensis" "Rule 2B"
"Australodelphis_mirus" "Steno_bredanensis" "Rule 2B"
"Australodelphis_mirus" "Leucopleurus_acutus" "Rule 2B"
"Austrosqualodon_trirhizodonta" "Tangaroasaurus_kakanuiensis" "Rule 1B"
"Austrosqualodon_trirhizodonta" "Phoberodon_arctirostris" "Rule 2B"
"Awadelphis_hirayamai" "Brujadelphis_ankylorostris" "Rule 2B"
"Balaena_arcuata" "Balaena_dubusi" "Rule 1B"
"Balaena_arcuata" "Balaena_larteti" "Rule 1B"
"Balaena_arcuata" "Balaena_macrocephalus" "Rule 1B"
"Balaena_arcuata" "Balaena_pampaea" "Rule 1B"
"Balaena_arcuata" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_arcuata" "Balaena_montalionis" "Rule 2B"
"Balaena_arcuata" "Balaena_ricei" "Rule 2B"
"Balaena_arcuata" "Balaena_mysticetus" "Rule 2B"
"Balaena_dubusi" "Balaena_larteti" "Rule 1B"
"Balaena_dubusi" "Balaena_macrocephalus" "Rule 1B"
"Balaena_dubusi" "Balaena_pampaea" "Rule 1B"
"Balaena_dubusi" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_dubusi" "Balaena_montalionis" "Rule 2B"
"Balaena_dubusi" "Balaena_ricei" "Rule 2B"
"Balaena_dubusi" "Balaena_mysticetus" "Rule 2B"
