"junior" "senior" "rule"
"Aegicetus_gehennae" "Crenatocetus_rayi" "rule_1b"
"Aegicetus_gehennae" "Dhedacetus_hyaeni" "rule_1b"
"Aegicetus_gehennae" "Indocetus_ramani" "rule_1b"
"Aegicetus_gehennae" "Kharodacetus_sahnii" "rule_1b"
"Aegicetus_gehennae" "Makaracetus_bidens" "rule_1b"
"Aegicetus_gehennae" "Pappocetus_lugardi" "rule_1b"
"Aegicetus_gehennae" "Takracetus_simus" "rule_1b"
"Aegicetus_gehennae" "Togocetus_traversei" "rule_1b"
"Aegicetus_gehennae" "Natchitochia_jonesi" "rule_2b"
"Aegicetus_gehennae" "Peregocetus_pacificus" "rule_2b"
"Aegicetus_gehennae" "Tupelocetus_palmeri" "rule_2b"
"Aegicetus_gehennae" "Maiacetus_inuus" "rule_2b"
"Aegicetus_gehennae" "Aegyptocetus_tarfa" "rule_2b"
"Aegicetus_gehennae" "Gaviacetus_razai" "rule_2b"
"Aegicetus_gehennae" "Qaisracetus_arifi" "rule_2b"
"Aegicetus_gehennae" "Carolinacetus_gingerichi" "rule_2b"
"Aegicetus_gehennae" "Artiocetus_clavis" "rule_2b"
"Aegicetus_gehennae" "Protocetus_atavus" "rule_2b"
"Aegicetus_gehennae" "Georgiacetus_vogtlensis" "rule_2b"
"Africanacetus_gracilis" "Africanacetus_ceratopsis" "rule_2b"
"Aglaocetus_burtinii" "Aglaocetus_latifrons" "rule_1b"
"Aglaocetus_burtinii" "Aglaocetus_rotundus" "rule_1b"
"Aglaocetus_burtinii" "Aglaocetus_longifrons" "rule_2b"
"Aglaocetus_burtinii" "Aglaocetus_moreni" "rule_2b"
"Aglaocetus_latifrons" "Aglaocetus_rotundus" "rule_1b"
"Aglaocetus_latifrons" "Aglaocetus_longifrons" "rule_2b"
"Aglaocetus_latifrons" "Aglaocetus_moreni" "rule_2b"
"Aglaocetus_rotundus" "Aglaocetus_longifrons" "rule_2b"
"Aglaocetus_rotundus" "Aglaocetus_moreni" "rule_2b"
"Albireo_savagei" "Albireo_whistleri" "rule_2b"
"Amphicetus_later" "Tiphyocetus_temblorensis" "rule_2b"
"Amphicetus_later" "Mauicetus_parki" "rule_2b"
"Amphicetus_later" "Thinocetus_arthritus" "rule_2b"
"Amphicetus_later" "Uranocetus_gramensis" "rule_2b"
"Amphicetus_later" "Isanacetus_laticephalus" "rule_2b"
"Anacharsis_orbus" "Delphinavus_newhalli" "rule_1b"
"Anacharsis_orbus" "Miodelphis_californicus" "rule_1b"
"Anacharsis_orbus" "Platylithax_robusta" "rule_1b"
"Anacharsis_orbus" "Macrokentriodon_morani" "rule_2b"
"Anacharsis_orbus" "Pithanodelphis_cornutus" "rule_2b"
"Anacharsis_orbus" "Tagicetus_joneti" "rule_2b"
"Anoplonassa_forcipata" "Rhinostodes_lovisatoi" "rule_1b"
"Anoplonassa_forcipata" "Dagonodum_mojnum" "rule_2b"
"Anoplonassa_forcipata" "Chavinziphius_maxillocristatus" "rule_2b"
"Anoplonassa_forcipata" "Chimuziphius_coloradensis" "rule_2b"
"Anoplonassa_forcipata" "Caviziphius_altirostris" "rule_2b"
"Anoplonassa_forcipata" "Notoziphius_bruneti" "rule_2b"
"Anoplonassa_forcipata" "Nenga_meganasalis" "rule_2b"
"Anoplonassa_forcipata" "Pterocetus_benguelae" "rule_2b"
"Anoplonassa_forcipata" "Xhosacetus_hendeysi" "rule_2b"
"Anoplonassa_forcipata" "Ninoziphius_platyrostris" "rule_2b"
"Anoplonassa_forcipata" "Tasmacetus_shepherdi" "rule_2b"
"Arimidelphis_sorbinii" "Australodelphis_mirus" "rule_1b"
"Arimidelphis_sorbinii" "Norisdelphis_annakaensis" "rule_2b"
"Arimidelphis_sorbinii" "Eodelphinus_kabatensis" "rule_2b"
"Arimidelphis_sorbinii" "Steno_bredanensis" "rule_2b"
"Arimidelphis_sorbinii" "Leucopleurus_acutus" "rule_2b"
"Atlanticetus_laevi" "Atlanticetus_lavei" "rule_2b"
"Atlanticetus_laevi" "Atlanticetus_patulus" "rule_2b"
"Atropatenocetus_posteocenicus" "Graamocetus_longicollis" "rule_1b"
"Atropatenocetus_posteocenicus" "Lonchodelphis_occiduus" "rule_1b"
"Atropatenocetus_posteocenicus" "Microzeuglodon_caucasicum" "rule_1b"
"Atropatenocetus_posteocenicus" "Miokogia_elongatus" "rule_1b"
"Atropatenocetus_posteocenicus" "Nannolithax_gracilis" "rule_1b"
"Atropatenocetus_posteocenicus" "Oedolithax_mira" "rule_1b"
"Atropatenocetus_posteocenicus" "Oligodelphis_azerbajdzanicus" "rule_1b"
"Atropatenocetus_posteocenicus" "Phococetus_vasconum" "rule_1b"
"Atropatenocetus_posteocenicus" "Priscophyseter_typus" "rule_1b"
"Atropatenocetus_posteocenicus" "Sachalinocetus_cholmicus" "rule_1b"
"Atropatenocetus_posteocenicus" "Sulakocetus_dagestanicus" "rule_1b"
"Atropatenocetus_posteocenicus" "Chilcacetus_cavirhinus" "rule_2b"
"Atropatenocetus_posteocenicus" "Ediscetus_osbornei" "rule_2b"
"Atropatenocetus_posteocenicus" "Ashleycetus_planicapitis" "rule_2b"
"Atropatenocetus_posteocenicus" "Inticetus_vertizi" "rule_2b"
"Atropatenocetus_posteocenicus" "Mirocetus_riabinini" "rule_2b"
"Atropatenocetus_posteocenicus" "Olympicetus_avitus" "rule_2b"
"Atropatenocetus_posteocenicus" "Simocetus_rayi" "rule_2b"
"Attockicetus_praecursor" "Dalanistes_ahmedi" "rule_2b"
"Aulophyseter_mediatlanticus" "Aulophyseter_morricei" "rule_2b"
"Australodelphis_mirus" "Norisdelphis_annakaensis" "rule_2b"
"Australodelphis_mirus" "Eodelphinus_kabatensis" "rule_2b"
"Australodelphis_mirus" "Steno_bredanensis" "rule_2b"
"Australodelphis_mirus" "Leucopleurus_acutus" "rule_2b"
"Austrosqualodon_trirhizodonta" "Tangaroasaurus_kakanuiensis" "rule_1b"
"Austrosqualodon_trirhizodonta" "Phoberodon_arctirostris" "rule_2b"
"Awadelphis_hirayamai" "Brujadelphis_ankylorostris" "rule_2b"
"Balaena_arcuata" "Balaena_dubusi" "rule_1b"
"Balaena_arcuata" "Balaena_larteti" "rule_1b"
"Balaena_arcuata" "Balaena_macrocephalus" "rule_1b"
"Balaena_arcuata" "Balaena_meneghinii" "rule_1b"
"Balaena_arcuata" "Balaena_pampaea" "rule_1b"
"Balaena_arcuata" "Balaena_sp_SDSNH_43880" "rule_2b"
"Balaena_arcuata" "Balaena_montalionis" "rule_2b"
"Balaena_arcuata" "Balaena_ricei" "rule_2b"
"Balaena_arcuata" "Balaena_mysticetus" "rule_2b"
"Balaena_dubusi" "Balaena_larteti" "rule_1b"
"Balaena_dubusi" "Balaena_macrocephalus" "rule_1b"
"Balaena_dubusi" "Balaena_meneghinii" "rule_1b"
"Balaena_dubusi" "Balaena_pampaea" "rule_1b"
"Balaena_dubusi" "Balaena_sp_SDSNH_43880" "rule_2b"
"Balaena_dubusi" "Balaena_montalionis" "rule_2b"
"Balaena_dubusi" "Balaena_ricei" "rule_2b"
"Balaena_dubusi" "Balaena_mysticetus" "rule_2b"
"Balaena_larteti" "Balaena_macrocephalus" "rule_1b"
