"Junior" "Senior" "Rule"
"Mesoplodon_hotaula" "Mesoplodon_traversii" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_perrini" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_bowdoini" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_hectori" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_stejnegeri" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_carlhubbsi" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_peruvianus" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_bidens" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_densirostris" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_layardii" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_grayi" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_mirus" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_europaeus" "Rule 2B"
"Mesoplodon_hotaula" "Mesoplodon_ginkgodens" "Rule 2B"
"Orcaella_heinsohni" "Orcaella_brevirostris" "Rule 2B"
"Tursiops_australis" "Tursiops_aduncus" "Rule 2B"
"Tursiops_australis" "Tursiops_truncatus" "Rule 2B"
"Bohaskaia_monodontoides" "Monodon_monoceros" "Rule 2B"
"Casatia_thermophila" "Monodontidae_indet_IRSNB_M_1922" "Rule 1B"
"Squalodon_sp_MAUL_8" "Squalodon_bariensis" "Rule 2B"
"Squalodon_sp_MAUL_8" "Squalodon_bellunensis" "Rule 2B"
"Squalodon_sp_MAUL_8" "Squalodon_calvertensis" "Rule 2B"
"Prosqualodon_australis" "Prosqualodon_davidis" "Rule 2B"
"Schizodelphis_bogatshowi" "Schizodelphis_barnesi" "Rule 2B"
"Schizodelphis_bogatshowi" "Schizodelphis_sulcatus" "Rule 2B"
"Semirostrum_ceruttii" "Archaeophocaena_teshioensis" "Rule 2B"
"Semirostrum_ceruttii" "Miophocaena_nishinoi" "Rule 2B"
"Squalodelphinidae_indet_USNM_475596" "Medocinia_tetragorhina" "Rule 2B"
"Balaenula_balaenopsis" "Balaenula_astensis" "Rule 2B"
"Kogia_sp_MSNTUP_I13798" "Kogia_pusilla" "Rule 2B"
"Kogia_sp_MSNTUP_I13798" "Kogia_sima" "Rule 2B"
"Kogia_sp_MSNTUP_I13798" "Kogia_breviceps" "Rule 2B"
"Orycterocetus_sp_MAUL_29_slash_1" "Orycterocetus_crocodilinus" "Rule 2B"
"Eoplatanista_italica" "Eoplatanista_gresalensis" "Rule 2B"
"Gandakasia_potens" "Ambulocetus_natans" "Rule 2B"
"Squalodelphinidae_indet_USNM_475496" "Medocinia_tetragorhina" "Rule 2B"
"Nalacetus_ratimitus" "Ichthyolestes_pinfoldi" "Rule 2B"
"Otradnocetus_sp_VSEGEI_2401" "Otradnocetus_virodovi" "Rule 2B"
"Mysticeti_indet_USNM_314627" "Sitsqwayk_cornishorum" "Rule 2B"
"Scaphokogiinae_indet_MUSM_3291_et_3405" "Scaphokogia_cochlearis" "Rule 2B"
"Platanistinae_indet_MUSM_1611" "Platanista_gangetica" "Rule 2B"
"Isthminia_panamensis" "Inia_geoffrensis" "Rule 2B"
"Balaenopteridae_indet_SAM_PQL_dash_55001" "Plesiobalaenoptera_quarantellii" "Rule 2B"
"Archaebalaenoptera_liesselensis" "Archaebalaenoptera_castriarquati" "Rule 2B"
"Kentriodon_schneideri" "Kentriodon_pernix" "Rule 2B"
"Wimahl_chinookensis" "Kampholophos_serrulus" "Rule 2B"
"Yaquinacetus_meadi" "Squaloziphius_emlongi" "Rule 2B"
"Eurhinodelphis_longirostris" "Eurhinodelphis_cocheteuxi" "Rule 2B"
"Choneziphius_macrops" "Choneziphius_planirostris" "Rule 2B"
"Andrewsiphius_sloani" "Kutchicetus_minimus" "Rule 1B"
"Eschrichtiidae_indet_SDSNH_90517" "Eschrichtius_robustus" "Rule 2B"
"Tlaxcallicetus_guaycurae" "Tlaxcallicetus_sp_MU_EcSj5_slash_18_slash_95" "Rule 1B"
"Allodelphis_woodburnei" "Allodelphis_pratti" "Rule 2B"
"Squalodon_whitmorei" "Squalodon_bariensis" "Rule 2B"
"Squalodon_whitmorei" "Squalodon_bellunensis" "Rule 2B"
"Squalodon_whitmorei" "Squalodon_calvertensis" "Rule 2B"
"Phoberodon_arctirostris" "Squalodontidae_indet_OU_21798" "Rule 1B"
"Dalanistes_ahmedi" "Remingtonocetus_harudiensis" "Rule 2B"
"Mithridatocetus_adygeicus" "Mithridatocetus_eichwaldi" "Rule 1B"
"Cynthiacetus_maxwelli" "Cynthiacetus_peruvianus" "Rule 2B"
"Ziphiodelphis_abeli" "Ziphiodelphis_sigmoideus" "Rule 2B"
"Ziphirostrum_recurvus" "Ziphirostrum_turninense" "Rule 1B"
"Ziphirostrum_recurvus" "Ziphirostrum_marginatum" "Rule 2B"
"Ziphirostrum_turninense" "Ziphirostrum_marginatum" "Rule 2B"
"Pakicetus_attocki" "Pakicetus_inachus" "Rule 1B"
"Izikoziphius_angustus" "Izikoziphius_rossi" "Rule 1B"
"Tohoraata_waitakiensis" "Tohoraata_raekohao" "Rule 2B"
"Mammalodon_hakataramea" "Mammalodon_colliveri" "Rule 2B"
"Parapontoporia_wilsoni" "Parapontoporia_sternbergi" "Rule 2B"
"Morawanocetus_yabukii" "Chonecetus_sookensis" "Rule 2B"
"Otekaikea_huata" "Otekaikea_marplesi" "Rule 2B"
"Miocaperea_pulchra" "Caperea_marginata" "Rule 2B"
"Delphinus_tropicalis" "Delphinus_capensis" "Rule 2B"
"Sotalia_guianensis" "Sotalia_fluviatilis" "Rule 2B"
"Mesoplodon_traversii" "Mesoplodon_bidens" "Rule 2B"
"Globicephala_melas" "Globicephala_macrorhynchus" "Rule 2B"
"Lissodelphis_peronii" "Lissodelphis_borealis" "Rule 2B"
