"Character" "Weight"
"Aguirre-Fernandez_etal_2009a" 1 1
"Aguirre-Fernandez_etal_2009a" 2 1
"Aguirre-Fernandez_etal_2009a" 3 1
"Aguirre-Fernandez_etal_2009a" 4 1
"Aguirre-Fernandez_etal_2009a" 5 1
"Aguirre-Fernandez_etal_2009a" 6 1
"Aguirre-Fernandez_etal_2009a" 7 1
"Aguirre-Fernandez_etal_2009a" 8 1
"Arnold_etal_2005a" 9 1
"Arnold_etal_2005a" 10 1
"Arnold_etal_2005a" 11 1
"Arnold_etal_2005a" 12 1
"Arnold_etal_2005a" 13 1
"Arnold_etal_2005a" 14 1
"Arnold_etal_2005a" 15 1
"Benites-Palomino_etal_inpressa" 16 1
"Benites-Palomino_etal_inpressa" 17 1
"Benites-Palomino_etal_inpressa" 18 1
"Benites-Palomino_etal_inpressa" 19 1
"Benites-Palomino_etal_inpressa" 20 1
"Benites-Palomino_etal_inpressa" 21 1
"Benites-Palomino_etal_inpressa" 22 1
"Benites-Palomino_etal_inpressa" 23 1
"Benites-Palomino_etal_inpressa" 24 1
"Benites-Palomino_etal_inpressa" 25 1
"Benites-Palomino_etal_inpressa" 26 1
"Benites-Palomino_etal_inpressa" 27 1
"Benites-Palomino_etal_inpressa" 28 1
"Benites-Palomino_etal_inpressa" 29 1
"Benites-Palomino_etal_inpressa" 30 1
"Benites-Palomino_etal_inpressa" 31 1
"Benites-Palomino_etal_inpressa" 32 1
"Benites-Palomino_etal_inpressa" 33 1
"Benites-Palomino_etal_inpressa" 34 1
"Benites-Palomino_etal_inpressa" 35 1
"Benites-Palomino_etal_inpressa" 36 1
"Benites-Palomino_etal_inpressa" 37 1
"Benites-Palomino_etal_inpressa" 38 1
"Benites-Palomino_etal_inpressa" 39 1
"Benites-Palomino_etal_inpressa" 40 1
"Benites-Palomino_etal_inpressa" 41 1
"Benites-Palomino_etal_inpressa" 42 1
"Benites-Palomino_etal_inpressa" 43 1
"Benites-Palomino_etal_inpressa" 44 1
"Benites-Palomino_etal_inpressa" 45 1
"Benites-Palomino_etal_inpressa" 46 1
"Benites-Palomino_etal_inpressa" 47 1
"Benites-Palomino_etal_inpressa" 48 1
"Benites-Palomino_etal_inpressa" 49 1
"Benites-Palomino_etal_inpressa" 50 1
"Benites-Palomino_etal_inpressa" 51 1
"Benites-Palomino_etal_inpressa" 52 1
"Benites-Palomino_etal_inpressa" 53 1
"Benites-Palomino_etal_inpressa" 54 1
"Benites-Palomino_etal_inpressa" 55 1
"Benites-Palomino_etal_inpressa" 56 1
"Benites-Palomino_etal_inpressa" 57 1
"Benites-Palomino_etal_inpressa" 58 1
"Benites-Palomino_etal_inpressa" 59 1
"Benites-Palomino_etal_inpressa" 60 1
"Benites-Palomino_etal_inpressa" 61 1
"Benites-Palomino_etal_inpressa" 62 1
"Benites-Palomino_etal_inpressa" 63 1
"Benites-Palomino_etal_inpressa" 64 1
"Benites-Palomino_etal_inpressa" 65 1
"Benites-Palomino_etal_inpressa" 66 1
"Benites-Palomino_etal_inpressa" 67 1
"Benoit_etal_2011a" 68 1
"Benoit_etal_2011a" 69 1
"Benoit_etal_2011a" 70 1
"Benoit_etal_2011a" 71 1
"Benoit_etal_2011a" 72 1
"Benoit_etal_2011a" 73 1
"Benoit_etal_2011a" 74 1
"Benoit_etal_2011a" 75 1
"Benoit_etal_2011a" 76 1
"Benoit_etal_2011a" 77 1
"Benoit_etal_2011a" 78 1
"Benoit_etal_2011a" 79 1
"Bianucci_2013a" 80 1
"Bianucci_2013a" 81 1
"Bianucci_2013a" 82 1
"Bianucci_2013a" 83 1
"Bianucci_2013a" 84 1
"Bianucci_2013a" 85 1
"Bianucci_2013a" 86 1
"Bianucci_2013a" 87 1
"Bianucci_2013a" 88 1
"Bianucci_2013a" 89 1
"Bianucci_2013a" 90 1
"Bianucci_2013a" 91 1
"Bianucci_2013a" 92 1
"Bianucci_2013a" 93 1
"Bianucci_2013a" 94 1
"Bianucci_2013a" 95 1
"Bianucci_2013a" 96 1
"Bianucci_2013a" 97 1
"Bianucci_2013a" 98 1
"Bianucci_2013a" 99 1
"Bianucci_2013a" 100 1
"Bianucci_2013a" 101 1
"Bianucci_2013a" 102 1
"Bianucci_2013a" 103 1
"Bianucci_2013a" 104 1
"Bianucci_2013a" 105 1
"Bianucci_2013a" 106 1
"Bianucci_2013a" 107 1
"Bianucci_2013a" 108 1
"Bianucci_2013a" 109 1
"Bianucci_2013a" 110 1
"Bianucci_et_Gingerich_2011a" 111 1
"Bianucci_et_Gingerich_2011a" 112 1
"Bianucci_et_Gingerich_2011a" 113 1
"Bianucci_et_Gingerich_2011a" 114 1
"Bianucci_et_Gingerich_2011a" 115 1
"Bianucci_et_Gingerich_2011a" 116 1
"Bianucci_et_Gingerich_2011a" 117 1
"Bianucci_et_Gingerich_2011a" 118 1
"Bianucci_et_Gingerich_2011a" 119 1
"Bianucci_et_Gingerich_2011a" 120 1
"Bianucci_et_Gingerich_2011a" 121 1
"Bianucci_et_Gingerich_2011a" 122 1
"Bianucci_et_Gingerich_2011a" 123 1
