"junior" "senior" "rule"
"Mesoplodon_hotaula" "Mesoplodon_traversii" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_perrini" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_bowdoini" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_hectori" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_stejnegeri" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_carlhubbsi" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_peruvianus" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_densirostris" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_layardii" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_grayi" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_mirus" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_bidens" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_ginkgodens" "rule_2b"
"Mesoplodon_hotaula" "Mesoplodon_europaeus" "rule_2b"
"Orcaella_heinsohni" "Orcaella_brevirostris" "rule_2b"
"Tursiops_australis" "Tursiops_aduncus" "rule_2b"
"Tursiops_australis" "Tursiops_truncatus" "rule_2b"
"Bohaskaia_monodontoides" "Monodon_monoceros" "rule_2b"
"Casatia_thermophila" "Monodontidae_indet_IRSNB_M_1922" "rule_1b"
"Squalodon_sp_MAUL_8" "Squalodon_bariensis" "rule_2b"
"Squalodon_sp_MAUL_8" "Squalodon_bellunensis" "rule_2b"
"Squalodon_sp_MAUL_8" "Squalodon_calvertensis" "rule_2b"
"Schizodelphis_bogatshowi" "Schizodelphis_barnesi" "rule_2b"
"Schizodelphis_bogatshowi" "Schizodelphis_sulcatus" "rule_2b"
"Semirostrum_ceruttii" "Archaeophocaena_teshioensis" "rule_2b"
"Semirostrum_ceruttii" "Miophocaena_nishinoi" "rule_2b"
"Squalodelphinidae_indet_USNM_475596" "Medocinia_tetragorhina" "rule_2b"
"Balaenula_balaenopsis" "Balaenula_astensis" "rule_2b"
"Kogia_sp_MSNTUP_I13798" "Kogia_pusilla" "rule_2b"
"Kogia_sp_MSNTUP_I13798" "Kogia_sima" "rule_2b"
"Kogia_sp_MSNTUP_I13798" "Kogia_breviceps" "rule_2b"
"Orycterocetus_sp_MAUL_29_slash_1" "Orycterocetus_crocodilinus" "rule_2b"
"Gandakasia_potens" "Ambulocetus_natans" "rule_2b"
"Squalodelphinidae_indet_USNM_475496" "Medocinia_tetragorhina" "rule_2b"
"Eoplatanista_italica" "Eoplatanista_gresalensis" "rule_2b"
"Scaphokogia_totajpe" "Scaphokogia_cochlearis" "rule_2b"
"Nalacetus_ratimitus" "Ichthyolestes_pinfoldi" "rule_2b"
"Otradnocetus_sp_VSEGEI_2401" "Otradnocetus_virodovi" "rule_2b"
"Mysticeti_indet_USNM_314627" "Sitsqwayk_cornishorum" "rule_2b"
"Platanistinae_indet_MUSM_1611" "Platanista_gangetica" "rule_2b"
"Yaquinacetus_meadi" "Squaloziphius_emlongi" "rule_2b"
"Kentriodon_nakajimai" "Kentriodon_obscurus" "rule_1b"
"Wimahl_chinookensis" "Kampholophos_serrulus" "rule_2b"
"Kwanzacetus_khoisani" "Inia_geoffrensis" "rule_2b"
"Choneziphius_macrops" "Choneziphius_planirostris" "rule_2b"
"Andrewsiphius_sloani" "Kutchicetus_minimus" "rule_1b"
"Eschrichtiidae_indet_SDSNH_90517" "Eschrichtius_robustus" "rule_2b"
"Tlaxcallicetus_guaycurae" "Tlaxcallicetus_sp_MU_EcSj5_slash_18_slash_95" "rule_1b"
"Eurhinodelphis_longirostris" "Eurhinodelphis_cocheteuxi" "rule_2b"
"Dalanistes_ahmedi" "Remingtonocetus_harudiensis" "rule_2b"
"Mithridatocetus_adygeicus" "Mithridatocetus_eichwaldi" "rule_1b"
"Allodelphis_woodburnei" "Allodelphis_pratti" "rule_2b"
"Squalodon_whitmorei" "Squalodon_bariensis" "rule_2b"
"Squalodon_whitmorei" "Squalodon_bellunensis" "rule_2b"
"Squalodon_whitmorei" "Squalodon_calvertensis" "rule_2b"
"Cynthiacetus_maxwelli" "Cynthiacetus_peruvianus" "rule_2b"
"Balaenopteridae_indet_SAM_PQL_dash_55001" "Plesiobalaenoptera_quarantellii" "rule_2b"
"Archaebalaenoptera_liesselensis" "Archaebalaenoptera_castriarquati" "rule_2b"
"Atlanticetus_lavei" "Atlanticetus_patulus" "rule_2b"
"Ziphiodelphis_abeli" "Ziphiodelphis_sigmoideus" "rule_2b"
"Pakicetus_attocki" "Pakicetus_inachus" "rule_1b"
"Ziphirostrum_recurvus" "Ziphirostrum_turninense" "rule_1b"
"Ziphirostrum_recurvus" "Ziphirostrum_marginatum" "rule_2b"
"Ziphirostrum_turninense" "Ziphirostrum_marginatum" "rule_2b"
"Balaenopteridae_indet_NMR_999100007096" "Balaenopteridae_indet_aka_portisi_MRSN_PU13808_et_MGPT_13803_et_MCZ_17882_et_SDSNH_21507_et_65769_et_68698" "rule_2b"
"Squalodontidae_indet_OU_21798" "Phoberodon_arctirostris" "rule_2b"
"Izikoziphius_angustus" "Izikoziphius_rossi" "rule_1b"
"Tranatocetus_maregermanicum" "Tranatocetus_argillarius" "rule_2b"
"Tohoraata_waitakiensis" "Tohoraata_raekohao" "rule_2b"
"Parapontoporia_wilsoni" "Parapontoporia_sternbergi" "rule_2b"
"Mammalodon_hakataramea" "Mammalodon_colliveri" "rule_2b"
"Morawanocetus_yabukii" "Chonecetus_sookensis" "rule_2b"
"Otekaikea_huata" "Otekaikea_marplesi" "rule_2b"
"Miocaperea_pulchra" "Caperea_marginata" "rule_2b"
"Sotalia_guianensis" "Sotalia_fluviatilis" "rule_2b"
"Globicephala_melas" "Globicephala_macrorhynchus" "rule_2b"
"Lissodelphis_peronii" "Lissodelphis_borealis" "rule_2b"
