taxon,max,min
Tursiops aduncus,0,0
Stenella frontalis,0,0
Stenella coeruleoalba,0,0
Lagenodelphis hosei,0,0
Stenella attenuata,0,0
Stenella longirostris,0,0
Globicephala melas,0,0
Feresa attenuata,0,0
Peponocephala electra,0,0
Grampus griseus,0,0
Orcaella heinsohni,0,0
Orcaella brevirostris,0,0
Orcinus orca,0,0
Cephalorhynchus eutropia,0,0
Cephalorhynchus heavisidii,0,0
Cephalorhynchus commersoni,0,0
Sagmatias australis,0,0
Sagmatias cruciger,0,0
Lissodelphis borealis,0,0
Lissodelphis peronii,0,0
Sotalia fluviatilis,0,0
Sousa plumbea,0,0
Sousa sahulensis,0,0
Sousa chinensis,0,0
Steno bredanensis,0,0
Sousa teuszii,0,0
Lagenorhynchus albirostris,0,0
Berardius arnuxii,0,0
Berardius bairdii,0,0
Berardius_minimus,0,0
Ziphius cavirostris,0,0
Mesoplodon grayi,0,0
Mesoplodon perrini,0,0
Mesoplodon densirostris,0,0
Mesoplodon stejnegeri,0,0
Mesoplodon peruvianus,0,0
Mesoplodon hectori,0,0
Mesoplodon ginkgodens,0,0
Mesoplodon bowdoini,0,0
Mesoplodon carlhubbsi,0,0
Mesoplodon mirus,0,0
Mesoplodon bidens,0,0
Hyperoodon ampullatus,0,0
Hyperoodon planifrons,0,0
Indopacetus pacificus,0,0
Tasmacetus shepherdi,0,0
Kogia sima,0,0
Kogia breviceps,0,0
Phocoena sinus,0,0
Phocoena spinipinnis,0,0
Phocoenoides dalli,0,0
Phocoena dioptrica,0,0
Neophocaena phocaenoides,0,0
Neophocaena_asiaeorientalis,0,0
Lipotes vexillifer,0,0
Inia araguaiaensis,0,0
Inia geoffrensis,0,0
Platanista gangetica,0,0
Eschrichtius robustus,0,0
Balaenoptera borealis,0,0
Balaenoptera edeni,0,0
Balaenoptera omurai,0,0
Balaenoptera bonaerensis,0,0
Balaena mysticetus,0,0
Eubalaena glacialis,0,0
Eubalaena japonica,0,0
Caperea marginata,0,0
Idiocetus guicciardinii,3.2,2.588
Pseudorca crassidens,0,0
Globicephala uncidens,2.588,1.806
Ziphius compressus,2.588,1.806
Balaena affinis,2.588,1.806
Tursiops brochii,3.6,2.588
Tursiops osennae,3.6,2.588
Globicephala etruriae,3.6,2.588
Protoglobicephala mexicana,3.6,2.588
Kogia pusilla,3.6,2.588
Septemtriocetus bosselaersi,3.6,2.588
Parapontoporia sternbergi,3.6,2.588
Albireo savagei,3.6,2.588
Balaenoptera bertae,3.6,2.588
Balaenoptera davidsonii,3.6,2.588
Balaena montalionis,3.6,2.588
Herpetocetus morrowi,3.6,2.588
Eubalaena ianitrix,3.2,2.8
Balaenotus orcianensis,3.6,2.588
Balaenula forsythmajori,3.6,2.588
Pseudorca yokoyamai,1.806,0.781
Orcinus paleorca,1.806,0.781
Notiocetus romerianus,1.806,0.781
Balaena pampaea,1.806,0.781
Heterodelphis croatica,12.7,11.608
Leptodelphis stavropolitanus,12.7,11.608
Sarmatodelphis moldavicus,12.7,11.608
Anacharsis orbus,12.7,11.608
Microphocaena podolica,12.7,11.608
Mesocetus agrami,12.7,11.608
Brandtocetus chongulek,12.7,11.608
Eucetotherium helmersenii,12.7,11.608
Delphinus domeykoi,5.333,3.6
Stenella rayi,5.333,3.6
Australodelphis mirus,5.333,3.6
Lagenorhynchus harmatuki,5.333,3.6
Choneziphius trachops,5.333,3.6
Choneziphius liops,5.333,3.6
Choneziphius chonops,5.333,3.6
Tusciziphius crispus,4.12,3.84
Africanacetus gracilis,5.333,3.6
Belemnoziphius prorops,5.333,3.6
Mesoplodon posti,4.86,3.9
Mesoplodon tumidirostris,5.333,3.6
Aprixokogia kelloggi,5.333,3.6
Orycterocetus cornutidens,5.333,3.6
Orycterocetus quadratidens,5.333,3.6
Haborophocoena minutus,5.333,3.6
Haborophocoena toyoshimai,5.333,3.6
Brabocetus gigaseorum,5.333,3.6
Numataphocoena yamashitai,5.333,3.6
Bohaskaia monodontoides,5.333,3.6
Auroracetus bakerae,5.333,3.6
Gricetoides aurorae,5.333,3.6
Diunatans luctoretemergo,5.333,3.6
Balaenoptera taiwanica,5.333,3.6
Fragilicetus velponi,5.333,3.6
Balaena ricei,5.333,3.6
Herpetocetus sendaicus,5.333,3.6
Herpetocetus transatlanticus,5.333,3.6
Heterocetus guiscardii,5.333,3.6
Balaenella brachyrhynus,5.333,3.6
Orcinus citoniensis,3.6,1.806
Arimidelphis sorbinii,3.6,1.806
Choneziphius planirostris,9.5,7.5
Belemnoziphius compressus,3.6,1.806
Tursiops truncatus,0,0
Globicephala macrorhynchus,0,0
Delphinapterus leucas,0,0
Pontoporia_blainvillii,0,0
Megaptera novaeangliae,0,0
Balaenoptera musculus,0,0
Balaenoptera physalus,0,0
Eubalaena australis,0,0
Hemisyntrachelus oligodon,7.246,5.333
Nazcacetus urbinai,7.55,7.3
Chavinziphius maxillocristatus,6.93,6.71
Praekogia cedrosensis,7.246,5.333
Scaldicetus macgeei,7.246,5.333
Acrophyseter deinodon,7.246,5.333
Piscolithax boreios,7.246,5.333
Piscolithax longirostris,7.246,5.333
Piscolithax tedfordi,7.246,5.333
Archaeophocaena teshioensis,7.246,5.333
Miophocaena nishinoi,7.246,5.333
Parapontoporia pacifica,7.246,5.333
Denebola brachycephala,7.246,5.333
Odobenocetops leptodon,7.246,5.333
Odobenocetops peruvianus,7.246,5.333
Albireo whistleri,7.246,5.333
Awadelphis hirayamai,7.246,5.333
Isthminia panamensis,7.246,5.333
Meherrinia isoni,7.246,5.333
Parabalaenoptera baulinensis,7.246,5.333
Eubalaena shinshuensis,7.246,5.333
Piscocetus sacaco,7.246,5.333
Zygiocetus nartorum,7.246,5.333
Austrosqualodon trirhizodonta,27.3,25.2
Waipatia maerewhenua,27.3,25.2
Otekaikea huata,27.3,25.2
Awamokoa tokarahi,27.3,25.2
Tohoraata raekohao,27.3,25.2
Tohoraata waitakiensis,27.3,25.2
Waharoa ruwhenua,27.3,25.2
Tokarahia kauaeroa,27.3,25.2
Mammalodon hakataramea,27.3,25.2
Horopeta umarere,27.3,25.2
Toipahautea waitaki,27.3,25.2
Whakakai waipata,27.3,25.2
Kekenodon onamata,27.3,25.2
Physeter vetus,15.97,13.82
Aulophyseter morricei,15.97,13.82
Idiophyseter merriami,15.97,13.82
Albicetus oxymycterus,15.97,13.82
Brygmophyseter shigensis,15.97,13.82
Loxolithax sinuosa,15.97,13.82
Zarhachis velox,15.97,13.82
Oedolithax mira,15.97,13.82
Sinanodelphis izumidaensis,15.97,13.82
Delphinodon carniolicus,15.97,13.82
Vanbreenia trigonia,15.97,13.82
Tangaroasaurus kakanuiensis,15.97,13.82
Hadrodelphis calvertense,15.97,13.82
Liolithax pappus,15.97,13.82
