generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,2,0
3000,1,3,0
4000,1,3,1
5000,1,3,1
6000,2,3,1
7000,2,4,1
8000,2,4,0
9000,1,2,1
10000,3,4,1
11000,2,3,1
12000,2,3,1
13000,1,2,1
14000,2,3,1
15000,2,3,1
16000,2,4,1
17000,1,2,1
18000,1,3,0
19000,1,4,1
20000,1,2,1
21000,1,2,1
22000,1,3,0
23000,2,3,0
24000,1,2,1
25000,1,3,0
26000,1,2,0
27000,2,3,0
28000,2,4,1
29000,2,4,1
30000,2,3,0
31000,1,3,0
32000,2,3,0
33000,1,3,1
34000,2,4,0
35000,1,2,1
36000,2,3,1
37000,1,4,0
38000,1,4,0
39000,2,3,0
40000,1,2,0
41000,1,4,0
42000,2,4,1
43000,1,4,0
44000,1,2,1
45000,1,2,1
46000,1,3,0
47000,3,4,1
48000,3,4,0
49000,3,4,1
50000,1,2,0
51000,1,4,0
52000,1,2,0
53000,1,3,0
54000,2,4,1
55000,1,4,0
56000,2,3,1
57000,2,4,1
58000,2,4,1
59000,2,4,1
60000,2,4,0
61000,1,4,0
62000,1,4,0
63000,3,4,0
64000,1,4,0
65000,2,3,1
66000,3,4,0
67000,1,2,0
68000,1,3,1
69000,2,3,1
70000,1,3,0
71000,3,4,1
72000,2,3,0
73000,1,4,0
74000,1,2,1
75000,2,4,0
76000,2,3,0
77000,2,4,0
78000,1,3,0
79000,1,4,0
80000,2,3,0
81000,1,2,1
82000,1,4,0
83000,1,4,0
84000,2,3,1
85000,3,4,0
86000,2,4,1
87000,1,4,1
88000,1,3,1
89000,2,3,1
90000,3,4,1
91000,1,3,0
92000,2,4,0
93000,1,4,0
94000,2,3,1
95000,2,3,1
96000,3,4,0
97000,3,4,0
98000,3,4,0
99000,1,2,0
100000,2,3,1
101000,3,4,1
102000,2,3,0
103000,1,4,0
104000,1,2,1
105000,2,3,0
106000,2,3,0
107000,1,4,0
108000,1,3,0
109000,1,3,0
110000,1,2,1
111000,1,2,1
112000,1,3,0
113000,3,4,1
114000,1,3,0
115000,3,4,1
116000,3,4,1
117000,1,2,0
118000,1,2,1
119000,3,4,0
120000,2,3,0
121000,1,4,0
122000,1,3,0
123000,1,4,0
124000,1,3,0
125000,2,4,0
126000,3,4,0
127000,1,4,0
128000,2,3,0
129000,1,2,1
130000,1,3,0
131000,2,3,0
132000,2,4,0
133000,1,3,0
134000,1,4,0
135000,2,3,0
136000,1,2,0
137000,1,4,0
138000,1,4,0
139000,1,4,0
140000,1,3,0
141000,2,3,0
142000,2,4,0
143000,2,4,0
144000,1,3,0
145000,2,3,0
146000,2,4,0
147000,2,3,0
148000,3,4,1
149000,1,2,1
150000,1,2,1
151000,1,3,0
152000,1,3,0
153000,2,4,0
154000,2,4,0
155000,1,4,0
156000,2,3,0
157000,3,4,1
158000,1,4,0
159000,2,3,0
160000,1,2,0
161000,1,3,0
162000,2,4,1
163000,1,4,0
164000,1,4,0
165000,2,3,1
166000,1,3,0
167000,1,3,0
168000,3,4,1
169000,3,4,1
170000,1,4,0
171000,3,4,1
172000,2,3,1
173000,1,2,1
174000,1,4,1
175000,2,3,0
176000,1,4,1
177000,3,4,0
178000,1,2,1
179000,1,2,0
180000,2,3,1
181000,1,2,0
182000,1,4,0
183000,2,4,0
184000,2,4,0
185000,2,3,1
186000,1,4,0
187000,1,4,0
188000,1,3,0
189000,2,4,0
190000,3,4,1
191000,1,4,0
192000,2,3,1
193000,3,4,1
194000,1,3,0
195000,2,4,1
196000,3,4,0
197000,1,4,0
198000,1,2,1
199000,2,4,0
200000,1,4,0
201000,1,3,1
202000,2,3,0
203000,3,4,0
204000,1,3,1
205000,2,3,0
206000,1,3,1
207000,2,4,0
208000,3,4,0
209000,1,2,0
210000,2,3,0
211000,1,2,1
212000,2,4,0
213000,2,4,0
214000,2,4,0
215000,1,2,1
216000,1,3,0
217000,3,4,0
218000,2,4,1
219000,2,3,1
220000,2,4,1
221000,1,3,0
222000,2,3,0
223000,1,2,1
224000,1,4,0
225000,1,3,0
226000,1,3,0
227000,1,4,0
228000,1,3,0
229000,2,4,0
230000,3,4,1
231000,2,3,1
232000,2,3,1
233000,2,4,0
234000,3,4,0
235000,1,2,1
236000,1,3,0
237000,2,3,0
238000,1,2,1
239000,1,3,0
240000,2,3,0
241000,2,4,0
242000,1,2,1
243000,1,3,0
244000,1,4,0
245000,1,3,0
246000,2,4,0
247000,1,4,0
248000,1,2,1
249000,3,4,1
250000,2,3,0
251000,2,4,0
252000,1,4,0
253000,2,3,0
254000,3,4,1
255000,1,3,0
256000,2,3,0
257000,1,2,1
258000,1,2,1
259000,1,3,0
260000,1,3,0
261000,2,4,0
262000,2,4,0
263000,2,4,0
264000,2,3,0
265000,3,4,1
266000,2,4,0
267000,3,4,1
268000,1,4,0
269000,2,4,0
270000,1,4,0
271000,3,4,1
272000,1,4,0
273000,2,4,0
274000,2,3,1
275000,1,4,0
276000,1,4,0
277000,2,4,0
278000,1,2,0
279000,1,3,0
280000,3,4,0
281000,1,2,1
282000,2,3,1
283000,1,3,1
284000,1,2,1
285000,3,4,0
286000,1,4,0
287000,3,4,0
288000,1,4,0
289000,2,4,0
290000,1,4,0
291000,1,3,0
292000,1,2,1
293000,1,2,1
294000,3,4,0
295000,2,3,1
296000,2,4,0
297000,2,4,0
298000,1,2,0
299000,2,4,0
300000,1,4,0
301000,3,4,0
302000,2,4,0
303000,3,4,0
304000,1,2,0
305000,2,4,0
306000,3,4,0
307000,2,3,1
308000,1,4,0
309000,1,2,1
310000,1,3,1
311000,1,2,1
312000,3,4,0
313000,3,4,0
314000,1,3,1
315000,2,4,0
316000,2,3,1
317000,2,3,1
318000,1,4,0
319000,2,3,0
320000,1,4,0
321000,2,4,0
322000,1,2,1
323000,2,3,1
324000,2,4,0
325000,1,4,0
326000,3,4,1
327000,3,4,1
328000,2,3,1
329000,1,3,1
