generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-9544.94,1,0.43,0
10000,4,-1.68502,-5445.32,2.19732,0.373316,0.279172
20000,4,-3.86322,-5429.52,2.32951,0.390328,0.283486
30000,5,-7.23173,-5419.46,4.56637,0.363828,0.2825
40000,6,-3.54555,-5426.67,3.08098,0.387845,0.2828
50000,4,-2.68233,-5422.04,3.04441,0.38237,0.2713
60000,4,-1.86044,-5422.17,1.41749,0.374154,0.2587
70000,4,-1.12818,-5431.96,2.15823,0.366175,0.279686
80000,5,-2.80648,-5426.46,3.55291,0.384408,0.26945
90000,3,-1.54536,-5428.54,2.67805,0.386533,0.2716
100000,3,-0.763654,-5426.52,1.86316,0.380796,0.2625
110000,5,-2.5263,-5422.38,2.67692,0.389846,0.272
120000,4,-4.86466,-5424.4,2.40011,0.377981,0.267
130000,3,-3.58432,-5430.16,4.59987,0.373431,0.273117
140000,3,-1.65814,-5429.22,2.8542,0.387163,0.2544
150000,4,-0.574769,-5429.31,1.51015,0.390815,0.2751
160000,3,0.139847,-5426.29,1.12513,0.38249,0.2596
170000,4,-2.34914,-5428.48,2.4489,0.370175,0.2586
180000,3,-2.31382,-5424.35,3.5051,0.382205,0.2789
190000,3,-2.27584,-5429.24,3.52719,0.367095,0.2613
200000,3,-5.36493,-5437.75,4.00751,0.368632,0.26375
210000,6,-2.54349,-5421.94,0.846358,0.387341,0.25427
220000,5,-1.49523,-5426.62,1.90575,0.368909,0.2774
230000,3,-1.91716,-5429.89,3.17947,0.375055,0.2766
240000,4,-1.49708,-5425.5,1.97786,0.368725,0.2586
250000,4,-2.24146,-5429.6,2.53715,0.401232,0.2663
260000,3,-1.41085,-5429.43,2.56608,0.372833,0.2456
270000,4,-1.44192,-5423.5,1.9806,0.370588,0.2586
280000,3,-1.34043,-5430.82,2.47226,0.38331,0.262
290000,3,-0.313417,-5428.17,1.52877,0.401929,0.270886
300000,3,-2.62528,-5434.34,3.78295,0.382624,0.263
310000,4,-2.75866,-5431.24,3.52796,0.385071,0.256782
320000,3,-1.20201,-5426.37,2.35889,0.373822,0.27505
330000,5,-3.96937,-5423.72,2.0441,0.377874,0.279667
340000,3,-1.43637,-5430.09,2.51355,0.376764,0.27785
350000,4,-3.0416,-5429.39,1.77653,0.382945,0.2759
360000,4,-0.474373,-5426.34,1.31582,0.390676,0.2532
370000,4,-3.52037,-5426.82,3.07904,0.371886,0.273183
380000,4,-3.45612,-5424.71,3.49813,0.397316,0.2642
390000,3,-0.156198,-5428.75,1.16029,0.386445,0.2714
400000,4,-4.22029,-5426.51,4.33482,0.370304,0.271533
410000,4,0.250515,-5424.83,0.702316,0.384936,0.258
420000,3,-0.854185,-5434.21,2.07352,0.3562,0.254889
430000,3,0.752263,-5433.61,0.481035,0.382858,0.2693
440000,3,-3.67383,-5435.1,1.97505,0.374856,0.256167
450000,3,-3.25558,-5431.5,4.2861,0.380237,0.2558
460000,3,-0.58981,-5436.61,1.39511,0.367129,0.282
470000,3,-1.2655,-5426.64,2.40511,0.37696,0.258452
480000,4,-2.38962,-5427.93,2.62216,0.388613,0.272267
490000,3,0.828013,-5426.41,0.340919,0.390956,0.27155
500000,3,-1.82084,-5427.39,2.88896,0.381496,0.2775
510000,3,-1.16878,-5429.95,2.30859,0.387124,0.2706
520000,4,-0.541708,-5424.86,1.44061,0.379334,0.260685
530000,3,-0.930751,-5429.8,2.09696,0.383161,0.27365
540000,4,-2.24989,-5423.95,2.38112,0.373741,0.2648
550000,4,-4.68145,-5420.45,3.92256,0.368804,0.265367
560000,5,-1.43482,-5420.66,2.15965,0.392293,0.2688
570000,4,-4.27188,-5434.39,3.75503,0.376549,0.2694
580000,3,-1.83632,-5426.7,3.03504,0.38254,0.2525
590000,4,-1.98179,-5424.81,1.7482,0.364621,0.271533
600000,4,-1.57011,-5427.41,2.5528,0.37798,0.263
610000,3,-1.74479,-5434.73,1.6916,0.382921,0.273789
620000,3,-1.60575,-5433.26,2.7048,0.376152,0.2616
630000,3,-1.69129,-5427.89,2.72073,0.364206,0.26984
640000,4,-5.80849,-5419.94,3.25566,0.365788,0.2727
650000,4,-4.64245,-5420.52,4.41429,0.387251,0.2727
660000,4,-0.731447,-5422.66,1.33619,0.376048,0.2747
670000,3,0.327992,-5423.63,0.849069,0.373034,0.2776
680000,2,0.0495787,-5440.65,0.627362,0.370607,0.28056
690000,2,-0.718384,-5438.72,1.55091,0.390079,0.2583
700000,4,-2.11338,-5435.29,2.00223,0.387026,0.255904
710000,6,-5.96835,-5417.93,3.15715,0.38807,0.27485
720000,3,-0.415454,-5430.78,1.67972,0.380139,0.262009
730000,3,-0.0594218,-5428.72,1.19289,0.360634,0.2827
740000,3,-2.4587,-5426.27,3.63439,0.393843,0.267167
750000,4,-1.04855,-5427.74,1.50128,0.394847,0.27068
760000,3,-1.0096,-5430.11,2.09007,0.369371,0.2746
770000,5,-4.02298,-5426.06,3.44046,0.385716,0.2584
780000,3,-2.00669,-5427.67,3.18732,0.372823,0.2611
790000,4,-2.29803,-5427.5,2.99226,0.372271,0.2727
800000,1,-0.441908,-5451,0.973036,0.37507,0.259785
810000,4,-4.71535,-5437.24,3.50484,0.370175,0.247233
820000,3,-2.13633,-5437.15,3.20075,0.389871,0.268867
830000,3,0.0539504,-5428.07,1.28985,0.362506,0.2634
840000,3,0.410371,-5425.33,0.799557,0.387752,0.276945
850000,3,-1.65893,-5433.64,2.6985,0.367562,0.2706
