generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,1,3,0
3000,1,2,1
4000,1,3,1
5000,1,2,1
6000,2,3,1
7000,2,4,1
8000,2,4,1
9000,2,3,0
10000,2,3,1
11000,2,4,1
12000,1,3,1
13000,1,2,1
14000,1,3,1
15000,1,3,0
16000,3,4,1
17000,2,3,1
18000,2,3,1
19000,1,2,0
20000,1,3,0
21000,1,3,0
22000,2,3,1
23000,1,4,0
24000,1,2,0
25000,1,4,0
26000,2,4,1
27000,3,4,1
28000,2,4,0
29000,1,4,0
30000,2,4,1
31000,1,2,0
32000,2,3,1
33000,2,4,1
34000,2,3,1
35000,2,4,1
36000,1,4,0
37000,3,4,1
38000,1,2,0
39000,2,3,1
40000,1,2,1
41000,2,3,1
42000,2,4,1
43000,2,4,1
44000,2,3,1
45000,1,3,1
46000,1,4,0
47000,1,2,1
48000,1,3,0
49000,1,2,0
50000,2,4,0
51000,1,4,0
52000,3,4,1
53000,2,4,0
54000,2,4,0
55000,2,4,0
56000,3,4,1
57000,1,2,1
58000,2,3,0
59000,1,3,0
60000,1,3,0
61000,1,2,1
62000,1,2,0
63000,2,4,0
64000,1,2,0
65000,2,4,0
66000,2,3,0
67000,3,4,1
68000,1,4,0
69000,1,4,0
70000,1,3,1
71000,1,2,1
72000,1,3,1
73000,1,2,0
74000,3,4,1
75000,1,4,0
76000,1,3,1
77000,1,3,1
78000,3,4,1
79000,1,2,1
80000,1,2,1
81000,2,4,0
82000,1,2,1
83000,2,4,0
84000,1,2,1
85000,2,4,0
86000,1,3,0
87000,2,4,0
88000,3,4,0
89000,3,4,1
90000,1,3,0
91000,2,3,0
92000,1,4,1
93000,1,2,1
94000,2,3,0
95000,3,4,1
96000,1,2,1
97000,1,2,1
98000,1,2,1
99000,1,3,0
100000,3,4,0
101000,2,3,1
102000,1,3,1
103000,1,3,1
104000,1,2,1
105000,3,4,0
106000,1,4,0
107000,3,4,1
108000,1,4,1
109000,2,4,1
110000,2,4,1
111000,2,3,0
112000,1,2,1
113000,1,2,1
114000,3,4,1
115000,2,4,0
116000,2,4,0
117000,2,3,1
118000,2,4,0
119000,1,3,1
120000,3,4,1
121000,1,4,1
122000,1,2,1
123000,2,3,0
124000,2,3,0
125000,3,4,1
126000,2,3,1
127000,2,4,0
128000,1,2,1
129000,2,3,1
130000,1,3,1
131000,2,3,1
132000,2,3,1
133000,2,4,0
134000,2,4,0
135000,1,2,0
136000,2,3,1
137000,3,4,0
138000,2,4,0
139000,1,3,0
140000,1,2,0
141000,3,4,0
142000,1,4,0
143000,1,3,0
144000,1,4,0
145000,1,4,0
146000,1,3,0
147000,2,3,1
148000,2,3,1
149000,3,4,1
150000,3,4,1
151000,3,4,1
152000,1,2,0
153000,3,4,1
154000,1,4,0
155000,1,4,0
156000,2,3,1
157000,2,4,1
158000,1,3,0
159000,1,4,0
160000,2,4,1
161000,2,3,1
162000,1,3,0
163000,1,4,0
164000,1,2,1
165000,1,2,1
166000,1,3,0
167000,1,4,0
168000,2,3,0
169000,1,3,0
170000,1,3,0
171000,3,4,1
