generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.002,0,0.9,0
0,Kogia_breviceps,Pliokogia_apenninica,26.6515,1.37005,0,0.114923,0
10000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.201985,0,0.173111,0
10000,Tohoraata_waitakiensis,Micromysticetus_rothauseni,3.187,0.543532,0,0.903505,0
10000,Mesoplodon_grayi,Indopacetus_pacificus,24.5204,0.216474,0,0.0807389,0
10000,Delphinus_capensis,Delphinus_rikuzenensis,29.2898,0.43004,0,0.228106,0
10000,Delphinus_capensis,Orcinus_orca,20.6926,0.133933,0,0.0286222,0
20000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.218725,0,0.192683,0
20000,Delphinus_capensis,Eodelphinus_kabatensis,20.034,0.189696,0,0.047027,0
30000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.205495,0,0.195045,0
30000,Delphinus_capensis,Eodelphinus_kabatensis,19.8372,0.15945,0,0.0388128,0
40000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.210699,0,0.185776,0
40000,Delphinus_capensis,Eodelphinus_kabatensis,19.9706,0.14487,0,0.0659339,0
50000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.220352,0,0.178246,0
50000,Delphinus_capensis,Orcinus_orca,21.0883,0.181414,0,0.0580713,0
60000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.201654,0,0.18415,0
60000,Delphinus_capensis,Leucopleurus_acutus,21.3459,0.16507,0,0.0382235,0
70000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.199202,0,0.18047,0
70000,Delphinus_capensis,Orcinus_orca,21.0217,0.120921,0,0.0621447,0
80000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.197413,0,0.169496,0
80000,Delphinus_capensis,Orcinus_orca,20.7939,0.14992,0,0.0609159,0
90000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.224953,0,0.185332,0
90000,Delphinus_capensis,Orcinus_orca,20.7987,0.184431,0,0.032833,0
100000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.194093,0,0.182409,0
110000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.204081,0,0.187353,0
110000,Mesoplodon_grayi,Indopacetus_pacificus,25.4961,0.2697,0,0.0155317,0
110000,Delphinus_capensis,Orcinus_orca,20.8763,0.173616,0,0.0448516,0
120000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.198472,0,0.180487,0
120000,Delphinus_capensis,Delphinus_rikuzenensis,27.345,0.455999,0,0.169601,0
120000,Delphinus_capensis,Orcinus_orca,20.9767,0.169908,0,0.0257277,0
130000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.205784,0,0.167073,0
130000,Tranatocetus_argillarius,Cetotherium_capellinii,20.9007,0.417976,0,0.419304,0
130000,Delphinus_capensis,Eodelphinus_kabatensis,19.793,0.201064,0,0.0611962,0
140000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.202823,0,0.19395,0
140000,Mesoplodon_grayi,Khoikhoicetus_agulhasis,21.5054,0.126559,0,0.0705961,0
140000,Stenella_coeruleoalba,Stenella_frontalis,32.6658,0.625648,0,0.202066,0
140000,Delphinus_capensis,Eodelphinus_kabatensis,20.3215,0.151393,0,0.0603375,0
150000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.21997,0,0.209847,0
150000,Mesoplodon_grayi,Indopacetus_pacificus,25.2737,0.207081,0,0.0479324,0
150000,Delphinus_capensis,Orcinus_orca,21.072,0.163877,0,0.059122,0
160000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.218987,0,0.196789,0
160000,Delphinus_capensis,Eodelphinus_kabatensis,20.0156,0.165318,0,0.0434332,0
170000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.202108,0,0.177347,0
