generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,3,1
3000,2,3,1
4000,1,2,1
5000,1,4,1
6000,1,4,0
7000,1,3,0
8000,2,3,1
9000,1,3,1
10000,2,4,0
11000,1,4,1
12000,3,4,1
13000,1,3,1
14000,1,4,1
15000,1,2,1
16000,1,2,1
17000,1,3,1
18000,1,3,1
19000,1,4,1
20000,2,3,1
21000,1,4,1
22000,2,4,1
23000,1,2,1
24000,1,3,1
25000,3,4,1
26000,3,4,1
27000,2,3,1
28000,2,4,1
29000,1,3,1
30000,1,3,1
31000,1,4,0
32000,3,4,0
33000,3,4,0
34000,2,3,1
35000,1,2,1
36000,1,4,0
37000,1,3,1
38000,1,3,1
39000,1,4,0
40000,2,3,1
41000,1,2,1
42000,1,3,1
43000,2,3,1
44000,2,4,0
45000,1,2,1
46000,2,3,1
47000,2,3,0
48000,1,3,1
49000,2,3,1
50000,2,3,1
51000,2,3,1
52000,2,3,1
53000,2,4,0
54000,1,4,0
55000,2,3,1
56000,1,3,1
57000,2,3,1
58000,1,3,0
59000,2,4,0
60000,1,2,1
61000,2,3,1
62000,2,3,1
63000,2,4,0
64000,2,3,0
65000,2,4,0
66000,2,4,0
67000,2,4,0
68000,2,4,0
69000,1,2,1
70000,3,4,1
71000,2,3,0
72000,1,4,1
73000,1,3,0
74000,2,3,1
75000,2,3,1
76000,1,4,1
77000,1,4,0
78000,1,3,0
79000,2,3,0
80000,2,4,1
81000,2,3,0
82000,1,3,0
83000,1,3,0
84000,3,4,1
85000,2,4,1
86000,2,3,1
87000,1,3,0
88000,1,2,1
89000,2,3,0
90000,1,2,1
91000,1,2,1
92000,3,4,1
93000,3,4,1
94000,1,4,0
95000,3,4,1
96000,1,3,0
97000,1,3,0
98000,1,4,0
99000,1,3,0
100000,2,4,0
101000,1,2,1
102000,2,4,0
103000,3,4,1
104000,1,4,0
105000,1,4,0
106000,3,4,0
107000,1,2,1
108000,3,4,1
109000,2,3,0
110000,2,3,0
111000,2,4,0
112000,2,4,0
113000,1,4,0
114000,2,3,1
115000,1,3,1
116000,3,4,1
117000,2,3,0
118000,1,3,1
119000,1,3,1
120000,1,2,1
121000,1,3,1
122000,2,4,1
123000,1,3,1
124000,2,3,1
125000,1,2,1
126000,2,3,1
127000,1,4,1
128000,2,4,1
129000,1,3,0
130000,2,3,0
131000,1,4,1
132000,3,4,1
133000,1,3,1
134000,1,3,0
135000,2,4,0
136000,1,3,1
137000,1,3,0
138000,2,4,0
139000,3,4,0
140000,1,3,0
141000,2,3,1
142000,2,4,1
143000,2,4,1
144000,1,4,0
145000,1,4,0
146000,2,3,1
147000,1,4,0
148000,2,4,1
149000,2,3,1
150000,1,4,0
151000,2,3,1
152000,1,3,1
153000,1,2,1
154000,3,4,1
155000,3,4,1
