generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-6467.21,1,0.43,1
50000,2,0.322043,-3833.18,0.676775,0.602878,0.23905
100000,2,-1.05444,-3834.39,1.98781,0.604045,0.2408
150000,2,-0.458761,-3832,1.43967,0.626218,0.234
200000,3,-0.748995,-3831.89,2.08306,0.602651,0.24162
250000,3,-0.0518968,-3832.91,1.23039,0.620914,0.2233
300000,1,-0.859376,-3844.43,1.25711,0.62413,0.21375
350000,2,-2.90281,-3832.03,3.83443,0.629597,0.2426
400000,2,-1.31568,-3831.89,2.26735,0.603716,0.2415
450000,2,0.459626,-3835.18,0.412558,0.603967,0.247467
500000,2,-1.56846,-3832.76,2.52062,0.626888,0.238
550000,3,-0.864472,-3833.03,2.38087,0.637788,0.2317
600000,1,-0.819473,-3850.8,1.1706,0.608687,0.2001
650000,2,-0.349864,-3834.18,1.28069,0.603534,0.24585
700000,2,-2.36911,-3832.78,3.29888,0.581448,0.2496
750000,2,-0.650712,-3834.44,1.44405,0.610573,0.244
800000,2,-0.739956,-3834.22,1.59766,0.624781,0.2301
850000,2,-0.914651,-3832.2,1.89004,0.610676,0.2411
900000,1,-0.658,-3846.08,1.01954,0.615357,0.2034
950000,3,-0.705693,-3830.71,1.79831,0.617999,0.243889
1000000,2,-0.0716073,-3837.23,0.869793,0.628888,0.2411
1050000,2,-2.0823,-3833.78,3.07262,0.607903,0.2406
1100000,1,-0.598854,-3843.66,0.998,0.606567,0.211011
1150000,2,-0.371408,-3835.28,1.25787,0.623554,0.2392
1200000,2,-0.490181,-3834.95,1.36681,0.601291,0.2322
1250000,3,0.0560806,-3831.54,1.23021,0.586241,0.220956
1300000,1,0.238844,-3844.42,0.132671,0.601521,0.2033
1350000,2,-1.07596,-3833.48,1.92621,0.599538,0.254138
1400000,2,-1.1189,-3833.07,2.08885,0.622398,0.2492
1450000,2,-0.507521,-3832.49,1.42649,0.610579,0.235
1500000,2,-0.31868,-3834.14,1.27061,0.634526,0.222693
1550000,3,-0.886751,-3832.06,1.76124,0.597424,0.23955
1600000,4,-0.600303,-3836.24,1.22716,0.592502,0.2353
1650000,3,0.419559,-3834.01,0.723076,0.615208,0.2292
1700000,2,0.324044,-3837.47,0.587134,0.643764,0.2265
1750000,2,-1.4557,-3836.9,2.27377,0.572652,0.24345
1800000,2,-0.661773,-3832.11,1.59737,0.615614,0.2292
1850000,2,0.732965,-3834.88,0.260383,0.58302,0.2394
1900000,2,0.0425147,-3836.51,0.792137,0.629712,0.220656
1950000,2,-2.62475,-3833.85,3.55696,0.590723,0.244975
2000000,2,-0.605497,-3836.75,1.62651,0.588232,0.2421
2050000,3,-2.28311,-3832.41,3.47812,0.609047,0.2358
2100000,2,-0.682437,-3835,1.5508,0.627275,0.243733
