generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Delphinus_capensis,Balaenoptera_brydei,0,0.002,0,0.9,0
50000,Delphinus_capensis,Balaenoptera_brydei,0,0.274892,0,0.251338,0
50000,Indopacetus_pacificus,Ninoziphius_platyrostris,10.0255,0.149131,0,0.0988202,0
50000,Scaldiporia_vandokkumi,Parapontoporia_sternbergi,16.0446,0.125236,0,0.105556,0
50000,Delphinus_capensis,Orcinus_orca,22.7923,0.160026,0,0.0532273,0
100000,Delphinus_capensis,Balaenoptera_brydei,0,0.241948,0,0.270443,0
100000,Delphinus_capensis,Indopacetus_pacificus,9.27706,0.182939,0,0.144177,0
150000,Delphinus_capensis,Balaenoptera_brydei,0,0.234962,0,0.23135,0
150000,Delphinus_capensis,Indopacetus_pacificus,9.36236,0.177111,0,0.085114,0
200000,Delphinus_capensis,Balaenoptera_brydei,0,0.259359,0,0.236112,0
200000,Haborophocoena_minutus,Semirostrum_ceruttii,29.0647,0.629946,0,0.475149,0
200000,Delphinus_capensis,Indopacetus_pacificus,9.51441,0.177765,0,0.117466,0
250000,Delphinus_capensis,Balaenoptera_brydei,0,0.298269,0,0.256796,0
250000,Delphinus_capensis,Indopacetus_pacificus,9.32975,0.17473,0,0.119982,0
300000,Delphinus_capensis,Balaenoptera_brydei,0,0.284101,0,0.253046,0
300000,Delphinus_capensis,Indopacetus_pacificus,9.6554,0.183293,0,0.111111,0
350000,Delphinus_capensis,Balaenoptera_brydei,0,0.270121,0,0.255587,0
350000,Delphinus_capensis,Indopacetus_pacificus,9.60344,0.157619,0,0.118007,0
400000,Delphinus_capensis,Balaenoptera_brydei,0,0.238313,0,0.228214,0
400000,Echovenator_sandersi,Albertocetus_sp_ChM_PV4834,7.99798,0.36787,0,0.360513,0
400000,Delphinus_capensis,Indopacetus_pacificus,9.65771,0.187895,0,0.10666,0
450000,Delphinus_capensis,Balaenoptera_brydei,0,0.217531,0,0.235473,0
450000,Delphinus_capensis,Indopacetus_pacificus,9.5694,0.189032,0,0.127714,0
500000,Delphinus_capensis,Balaenoptera_brydei,0,0.258926,0,0.260849,0
500000,Delphinus_capensis,Indopacetus_pacificus,9.22832,0.189344,0,0.127792,0
550000,Delphinus_capensis,Balaenoptera_brydei,0,0.296257,0,0.267465,0
550000,Globicephala_melas,Orcaella_brevirostris,32.2672,0.438702,0,0.0803635,0
550000,Delphinus_capensis,Indopacetus_pacificus,9.59824,0.176443,0,0.128115,0
