generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-6672.3,1,0.43,0
50000,1,-1.05671,-3844.98,1.42804,0.630605,0.21515
100000,2,-2.03847,-3839.79,2.83638,0.590281,0.2399
150000,1,0.120284,-3845.02,0.237502,0.61327,0.1996
200000,2,-0.510955,-3833.37,1.41941,0.589088,0.2384
250000,2,-0.18528,-3834.28,1.08559,0.632016,0.24244
300000,1,0.0148832,-3845.31,0.37858,0.611088,0.230052
350000,2,0.145514,-3834.41,0.734767,0.622087,0.2417
400000,2,-0.199829,-3835.41,1.16103,0.632428,0.2443
450000,1,0.12279,-3847.53,0.240291,0.655256,0.206967
500000,3,-1.19418,-3834.9,2.15927,0.583853,0.24075
550000,2,-0.0135759,-3841.47,0.820018,0.646528,0.2278
600000,1,-0.36205,-3847.05,0.701118,0.597943,0.21318
650000,2,-0.411711,-3834.82,1.26703,0.589499,0.2564
700000,2,-1.11348,-3833.64,1.98791,0.607528,0.228
750000,2,0.128061,-3834.62,0.788582,0.601239,0.2391
800000,2,-2.1562,-3832.66,3.06708,0.588129,0.2421
850000,3,-2.42614,-3830.4,3.83409,0.581949,0.244033
900000,2,0.302997,-3833.86,0.600823,0.620327,0.2385
950000,2,-1.90356,-3833.96,2.81151,0.603536,0.2356
1000000,3,0.297619,-3830.29,0.940148,0.634248,0.24305
1050000,2,0.43082,-3836.54,0.344418,0.622251,0.2503
1100000,2,0.546717,-3837.27,0.266085,0.65192,0.237
1150000,2,-1.46343,-3832.6,2.42122,0.607435,0.249567
1200000,2,-0.919649,-3832.6,1.83716,0.618534,0.2485
1250000,2,0.0835112,-3831.24,0.794272,0.603004,0.243333
1300000,2,-1.65572,-3832.94,2.63026,0.625029,0.2409
1350000,2,-0.116084,-3837.13,0.843118,0.60235,0.229
1400000,2,-0.235308,-3833.93,1.2595,0.603379,0.244
1450000,2,-0.816331,-3836.14,1.57758,0.614967,0.242
1500000,2,-0.785193,-3834.72,1.81759,0.617947,0.2453
1550000,2,-1.34357,-3833.46,2.25189,0.622305,0.2424
1600000,2,-0.576955,-3833.02,1.48523,0.590755,0.2347
1650000,3,0.431748,-3829.75,0.941802,0.611861,0.235795
1700000,2,-0.728747,-3832.13,1.63596,0.597996,0.243614
