generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Delphinus_capensis,Balaenoptera_brydei,0,0.002,0,0.9,0
0,Pomatodelphis_bobengi,Perditicetus_yaconensis,10.9375,0.276666,0,0.31115,0
50000,Delphinus_capensis,Balaenoptera_brydei,0,0.282652,0,0.288352,0
50000,Delphinus_capensis,Orcinus_orca,28.7653,0.391714,0,0.0958302,0
50000,Delphinus_capensis,Squalodontidae_indet_ChM_PV4961,7.02378,0.149266,0,0.12088,0
100000,Delphinus_capensis,Balaenoptera_brydei,0,0.261219,0,0.22845,0
100000,Mesoplodon_ginkgodens,Mesoplodon_bidens,22.7849,0.225993,0,0.00824875,0
100000,Delphinus_capensis,Orcinus_orca,29.657,0.328115,0,0.0839665,0
100000,Delphinus_capensis,Hadrodelphis_calvertense,17.481,0.232532,0,0.188369,0
100000,Delphinus_capensis,Mesoplodon_ginkgodens,10.1927,0.133366,0,0.104386,0
150000,Delphinus_capensis,Balaenoptera_brydei,0,0.287717,0,0.237031,0
150000,Mesoplodon_ginkgodens,Ninoziphius_platyrostris,10.4021,0.116551,0,0.0605236,0
150000,Scaldiporia_vandokkumi,Parapontoporia_sternbergi,16.6192,0.124458,0,0.110684,0
150000,Delphinus_capensis,Orcinus_orca,24.5469,0.363527,0,0.0152753,0
200000,Delphinus_capensis,Balaenoptera_brydei,0,0.246651,0,0.245566,0
200000,Phocoena_phocoena,Neophocaena_phocaenoides,29.9528,0.240771,0,0.0284757,0
200000,Delphinus_capensis,Orcinus_orca,29.8366,0.337128,0,0.0489275,0
200000,Delphinus_capensis,Squaloziphius_emlongi,8.89836,0.191435,0,0.142812,0
250000,Delphinus_capensis,Balaenoptera_brydei,0,0.280392,0,0.267025,0
250000,Delphinus_capensis,Mesoplodon_ginkgodens,10.261,0.166926,0,0.104574,0
300000,Delphinus_capensis,Balaenoptera_brydei,0,0.256882,0,0.258872,0
300000,Delphinus_capensis,Orcinus_orca,30.0382,0.327134,0,0.0257027,0
300000,Delphinus_capensis,Squaloziphius_emlongi,9.16022,0.194391,0,0.10406,0
350000,Delphinus_capensis,Balaenoptera_brydei,0,0.261952,0,0.267151,0
350000,Argyrocetus_joaquinensis,Macrodelphinus_kelloggi,12.2613,0.59267,0,1.20459,0
350000,Delphinus_capensis,Orcinus_orca,25.8289,0.301911,0,0.0344599,0
350000,Delphinus_capensis,Hadrodelphis_calvertense,16.2227,0.308683,0,0.191857,0
350000,Delphinus_capensis,Mesoplodon_ginkgodens,10.3026,0.134014,0,0.0771721,0
400000,Delphinus_capensis,Balaenoptera_brydei,0,0.255783,0,0.229721,0
400000,Delphinus_capensis,Sousa_chinensis,32.1801,0.46725,0,0.150838,0
400000,Delphinus_capensis,Orcinus_orca,28.8704,0.217766,0,0.0124882,0
400000,Delphinus_capensis,Kogia_breviceps,9.28203,0.172133,0,0.140494,0
450000,Delphinus_capensis,Balaenoptera_brydei,0,0.266608,0,0.269511,0
450000,Delphinus_capensis,Orcinus_orca,27.7643,0.332144,0,0.0161165,0
450000,Delphinus_capensis,Squaloziphius_emlongi,9.11457,0.186057,0,0.131159,0
500000,Delphinus_capensis,Balaenoptera_brydei,0,0.294318,0,0.27045,0
500000,Delphinus_capensis,Orcinus_orca,25.4215,0.263965,0,0.0918693,0
500000,Delphinus_capensis,Squaloziphius_emlongi,8.86258,0.176613,0,0.135068,0
550000,Delphinus_capensis,Balaenoptera_brydei,0,0.262711,0,0.275156,0
550000,Phocoena_phocoena,Neophocaena_phocaenoides,30.7595,0.199489,0,0.0262677,0
550000,Phocoena_phocoena,Haborophocoena_toyoshimai,27.2143,0.474887,0,0.369976,0
550000,Delphinus_capensis,Albireo_whistleri,24.0173,0.290755,0,0.0718795,0
550000,Delphinus_capensis,Mesoplodon_ginkgodens,10.2668,0.118537,0,0.0698257,0
600000,Delphinus_capensis,Balaenoptera_brydei,0,0.263327,0,0.240925,0
600000,Delphinus_capensis,Orcinus_orca,25.5318,0.391585,0,0.0373304,0
600000,Delphinus_capensis,Squaloziphius_emlongi,8.889,0.174706,0,0.137037,0
650000,Delphinus_capensis,Balaenoptera_brydei,0,0.249066,0,0.227194,0
650000,Delphinus_capensis,Norisdelphis_annakaensis,21.3102,0.316059,0,0.0750058,0
650000,Delphinus_capensis,Mesoplodon_ginkgodens,10.3447,0.124276,0,0.115569,0
