generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,1,4,1
3000,1,3,0
4000,1,2,1
5000,1,3,1
6000,1,4,0
7000,2,3,1
8000,1,3,0
9000,1,3,0
10000,1,4,1
11000,1,2,1
12000,1,3,0
13000,2,4,0
14000,3,4,1
15000,2,3,1
16000,3,4,1
17000,1,3,1
18000,2,3,1
19000,2,4,1
20000,1,3,1
21000,1,3,1
22000,3,4,1
23000,2,3,0
24000,1,4,0
25000,2,4,1
26000,3,4,1
27000,3,4,1
28000,2,4,1
29000,1,4,0
30000,2,4,0
31000,3,4,1
32000,1,3,1
33000,1,2,1
34000,2,4,1
35000,1,2,0
36000,3,4,1
37000,2,3,1
38000,1,2,1
39000,3,4,1
40000,1,2,1
41000,2,3,1
42000,3,4,1
43000,1,2,1
44000,3,4,0
45000,1,4,0
46000,1,3,0
47000,2,4,1
48000,1,4,0
49000,1,3,0
50000,2,4,0
51000,1,4,1
52000,2,3,1
53000,2,3,1
54000,1,2,1
55000,2,3,1
56000,1,4,0
57000,3,4,1
58000,1,3,0
59000,2,4,1
60000,2,3,1
61000,1,4,1
62000,1,3,1
63000,3,4,1
64000,1,2,1
65000,2,3,1
66000,1,3,0
67000,3,4,1
68000,1,2,1
69000,2,4,0
70000,2,4,0
71000,1,2,1
72000,2,3,1
73000,1,4,0
74000,3,4,0
75000,2,4,1
76000,1,4,1
77000,2,3,1
78000,2,4,1
79000,1,2,1
80000,2,3,1
81000,2,3,1
82000,1,4,0
83000,2,3,1
84000,2,4,1
85000,1,2,1
86000,3,4,0
87000,1,3,1
88000,1,2,1
89000,1,3,1
90000,2,4,0
91000,3,4,1
92000,2,3,0
93000,1,3,0
94000,1,4,0
95000,1,2,1
96000,1,3,1
97000,1,2,1
98000,1,4,1
99000,2,3,1
100000,1,2,1
101000,1,2,1
102000,3,4,1
103000,1,4,1
104000,3,4,1
105000,1,2,1
106000,1,3,1
107000,2,3,1
108000,1,4,1
109000,3,4,1
110000,2,4,0
111000,2,4,0
112000,3,4,0
113000,2,4,0
114000,3,4,0
115000,3,4,0
116000,2,3,1
117000,3,4,0
118000,1,3,0
119000,2,3,0
120000,1,4,0
121000,1,3,1
122000,1,4,0
123000,3,4,0
124000,1,2,0
125000,1,2,1
126000,3,4,1
127000,1,2,0
128000,2,4,1
129000,3,4,1
130000,1,4,0
131000,2,4,0
132000,1,3,0
133000,2,3,1
134000,1,2,1
135000,1,3,1
136000,2,4,0
137000,2,3,1
138000,2,4,1
139000,1,2,0
140000,1,2,0
141000,1,2,0
142000,1,3,0
143000,1,3,0
144000,1,3,0
145000,1,3,0
146000,2,4,0
147000,1,2,1
148000,1,2,1
149000,3,4,1
150000,1,2,1
151000,1,2,1
152000,2,3,1
153000,1,3,1
154000,1,3,1
155000,1,3,1
156000,1,4,1
157000,1,2,1
158000,3,4,1
159000,1,3,1
160000,3,4,0
161000,1,3,0
162000,3,4,1
163000,1,3,0
164000,3,4,1
165000,1,2,1
166000,3,4,1
167000,2,4,0
168000,1,4,0
169000,1,4,0
170000,2,4,1
171000,1,2,1
172000,2,4,1
173000,1,4,0
174000,1,3,1
175000,1,4,0
176000,1,3,0
177000,1,4,1
178000,1,4,0
179000,1,4,1
180000,2,4,1
181000,3,4,1
182000,1,2,0
183000,1,2,0
184000,3,4,1
185000,1,4,0
186000,3,4,1
187000,2,3,1
188000,1,3,0
189000,1,2,1
190000,2,3,0
191000,1,4,0
192000,2,3,1
193000,3,4,1
194000,1,4,0
195000,2,3,0
196000,3,4,0
197000,2,4,0
198000,2,4,1
199000,2,4,0
200000,3,4,1
201000,1,3,0
202000,2,3,1
203000,1,4,0
204000,1,3,1
205000,3,4,1
206000,1,3,0
207000,1,4,1
208000,3,4,1
209000,1,4,0
210000,3,4,0
211000,1,3,0
212000,2,3,0
213000,3,4,0
214000,2,4,0
215000,1,4,0
216000,1,3,0
217000,2,4,0
218000,1,4,0
219000,2,3,0
220000,1,3,0
221000,1,4,0
222000,1,4,0
223000,1,4,0
224000,3,4,0
225000,1,3,1
226000,2,4,1
227000,2,4,0
228000,2,3,0
229000,1,4,1
230000,1,2,1
231000,1,4,0
232000,1,4,1
233000,2,4,1
234000,1,3,0
235000,2,3,1
236000,1,3,1
237000,3,4,0
238000,1,3,1
239000,1,2,1
240000,2,3,1
241000,3,4,1
242000,3,4,0
243000,1,4,1
244000,3,4,0
245000,1,2,0
246000,2,4,0
247000,2,3,1
248000,1,4,0
249000,1,3,0
250000,1,3,1
251000,1,3,1
252000,1,3,0
253000,1,2,1
254000,2,4,0
255000,2,4,1
256000,1,3,1
257000,3,4,1
258000,3,4,1
259000,1,4,1
260000,2,3,1
261000,2,4,0
262000,1,4,1
263000,1,2,1
264000,1,4,0
265000,2,4,1
266000,2,4,1
267000,1,2,1
268000,1,3,1
269000,1,2,1
270000,1,4,0
271000,2,4,1
272000,1,3,0
273000,1,2,1
274000,2,3,1
275000,2,4,1
276000,1,3,1
277000,2,3,1
278000,3,4,1
279000,1,3,0
280000,2,4,0
281000,2,4,0
282000,2,3,0
283000,3,4,1
284000,1,3,0
285000,2,4,1
286000,2,4,1
287000,3,4,1
288000,3,4,0
289000,2,4,0
290000,2,4,0
291000,3,4,1
292000,1,3,0
293000,1,3,0
294000,2,3,1
295000,2,3,1
296000,1,2,1
297000,1,3,0
298000,1,3,0
299000,2,3,0
300000,1,2,0
301000,1,2,0
302000,1,3,0
303000,1,4,0
304000,1,4,1
305000,1,3,1
306000,1,4,1
307000,1,3,0
308000,3,4,1
309000,1,3,0
310000,1,4,1
311000,2,3,1
312000,1,3,1
313000,2,3,1
314000,2,3,0
315000,1,3,0
316000,1,3,0
317000,2,3,1
318000,1,4,0
319000,1,2,0
320000,1,4,0
321000,2,4,1
322000,2,3,1
323000,2,4,0
324000,3,4,1
325000,3,4,1
326000,1,4,1
327000,2,3,1
328000,3,4,1
329000,3,4,1
330000,2,3,1
331000,2,4,0
332000,3,4,1
333000,1,4,1
334000,1,3,1
335000,2,4,1
336000,2,4,1
337000,3,4,1
338000,1,3,1
339000,1,2,1
340000,1,2,0
341000,1,4,1
342000,1,3,1
343000,1,4,0
344000,1,3,1
345000,3,4,0
346000,1,4,0
347000,1,3,1
348000,1,3,0
349000,2,4,1
350000,2,3,1
351000,3,4,1
352000,1,3,0
353000,1,4,0
354000,1,4,0
355000,2,4,0
356000,3,4,1
357000,1,2,1
358000,1,4,0
359000,1,4,0
360000,1,4,0
361000,2,4,0
362000,1,3,1
363000,1,2,1
364000,2,3,1
365000,3,4,1
366000,3,4,0
367000,2,4,1
368000,3,4,1
369000,3,4,0
370000,3,4,1
371000,2,4,1
372000,2,3,1
373000,2,3,1
374000,1,4,1
375000,1,4,1
376000,3,4,1
377000,2,4,1
378000,1,2,1
379000,1,4,0
380000,1,4,1
381000,3,4,0
382000,1,3,1
383000,2,4,1
384000,3,4,1
385000,2,3,1
386000,3,4,1
387000,3,4,1
388000,1,4,0
389000,1,2,0
390000,2,4,1
391000,1,2,0
392000,1,2,1
393000,3,4,1
394000,2,3,0
395000,1,4,0
396000,3,4,1
397000,2,3,1
398000,1,4,1
399000,1,4,1
400000,1,4,1
401000,3,4,1
402000,1,3,0
403000,1,3,0
404000,1,3,0
405000,1,2,1
406000,1,3,1
407000,2,4,0
408000,1,4,0
409000,1,4,0
410000,1,3,1
411000,3,4,1
412000,1,2,1
413000,1,4,1
414000,1,3,1
415000,2,4,0
416000,2,4,1
417000,2,4,1
418000,1,4,1
419000,2,4,1
420000,3,4,1
421000,1,3,1
422000,3,4,0
423000,2,4,0
424000,1,3,1
425000,1,2,1
426000,3,4,0
427000,2,3,0
428000,1,2,0
429000,1,3,0
430000,1,4,0
431000,1,3,0
432000,1,4,0
433000,1,4,0
434000,1,3,0
435000,2,3,1
436000,1,2,1
437000,1,3,1
438000,1,4,1
439000,2,4,0
440000,1,3,1
441000,2,4,1
442000,3,4,0
443000,1,3,0
444000,1,4,0
445000,3,4,1
446000,1,3,0
447000,2,3,1
448000,1,3,0
449000,1,2,1
450000,2,3,0
451000,1,2,1
452000,1,2,1
453000,1,4,0
454000,2,4,0
455000,3,4,1
456000,1,4,0
457000,3,4,1
458000,2,3,1
459000,2,3,1
460000,1,2,1
461000,1,3,0
462000,1,4,1
463000,3,4,1
464000,3,4,1
465000,2,3,1
466000,1,3,1
467000,2,3,1
468000,2,4,1
469000,1,4,1
470000,2,4,0
471000,1,2,1
472000,1,2,1
473000,2,3,1
474000,1,4,0
475000,2,4,1
476000,1,4,1
477000,1,2,1
478000,2,3,1
479000,1,2,0
480000,3,4,1
481000,1,4,0
482000,2,4,1
483000,1,3,1
484000,1,4,0
485000,2,3,1
486000,1,2,1
487000,1,4,0
488000,3,4,0
489000,2,4,0
490000,1,4,0
491000,3,4,0
492000,2,4,0
493000,2,4,1
494000,1,4,1
495000,3,4,1
496000,1,3,0
497000,1,2,0
498000,1,4,0
499000,2,4,1
500000,2,3,1
501000,1,2,1
502000,2,4,1
503000,3,4,1
504000,1,2,0
505000,2,4,1
506000,3,4,0
507000,2,3,1
508000,2,3,1
509000,3,4,1
510000,1,2,0
511000,2,4,1
512000,2,4,1
513000,3,4,1
514000,1,2,1
515000,1,4,1
516000,1,3,1
517000,1,4,1
518000,2,4,1
519000,1,4,1
520000,2,3,1
521000,3,4,0
522000,2,4,1
523000,2,3,1
524000,2,4,0
525000,3,4,1
526000,2,3,0
527000,2,4,1
528000,3,4,1
529000,1,3,0
530000,1,3,1
531000,3,4,1
532000,3,4,1
533000,1,4,1
534000,1,3,1
535000,2,3,1
536000,1,4,0
537000,2,4,1
538000,1,2,1
539000,2,4,0
540000,1,2,0
541000,1,4,0
542000,3,4,1
543000,2,3,1
544000,1,3,1
545000,1,3,1
546000,2,3,1
547000,2,3,1
548000,1,3,1
549000,1,4,1
550000,1,3,1
551000,1,3,0
552000,1,4,0
553000,1,4,0
554000,2,4,1
555000,2,4,1
556000,1,2,1
557000,1,2,1
558000,1,2,1
559000,2,4,0
